Wavelength (nm),CD (mdeg),1,2,3,Label
236.8,-15.049,0.044172,240.805,0.000108574,PDN15
236.6,-15.5696,0.0461371,240.995,0.000108291,PDN15
236.4,-16.0754,0.0482052,241.196,0.000111138,PDN15
236.2,-16.7755,0.0504339,241.422,0.000110308,PDN15
236,-17.4445,0.0520846,241.618,0.000113925,PDN15
235.8,-18.0728,0.0539115,241.824,0.000110161,PDN15
235.6,-18.6803,0.0558096,242.04,0.000121395,PDN15
235.4,-19.363,0.0579087,242.26,0.000126491,PDN15
235.2,-20.1344,0.0598552,242.478,0.000127228,PDN15
235,-20.8447,0.0624015,242.717,0.000133404,PDN15
234.8,-21.4769,0.0645363,242.933,0.000136536,PDN15
234.6,-22.3728,0.0670664,243.176,0.000137168,PDN15
234.4,-23.1258,0.0694103,243.418,0.000144706,PDN15
234.2,-23.8327,0.0719167,243.671,0.000143404,PDN15
234,-24.5854,0.0748366,243.95,0.000143398,PDN15
233.8,-25.3138,0.0775424,244.201,0.000146101,PDN15
233.6,-26.1204,0.0806047,244.471,0.000157686,PDN15
233.4,-26.902,0.0835437,244.751,0.00015963,PDN15
233.2,-27.9008,0.086955,245.065,0.000166153,PDN15
233,-28.9069,0.0906228,245.412,0.000175716,PDN15
232.8,-29.8391,0.0942057,245.764,0.000184359,PDN15
232.6,-30.7547,0.0975547,246.086,0.000180655,PDN15
232.4,-31.7993,0.100638,246.411,0.000181781,PDN15
232.2,-32.5442,0.103412,246.699,0.000175818,PDN15
232,-33.3073,0.106099,246.981,0.000165853,PDN15
231.8,-34.1576,0.108836,247.254,0.000164945,PDN15
231.6,-34.7571,0.111308,247.491,0.000165676,PDN15
231.4,-35.4346,0.114147,247.775,0.000168692,PDN15
231.2,-36.1319,0.11718,248.052,0.000166774,PDN15
231,-37.151,0.121235,248.391,0.000159653,PDN15
230.8,-37.9693,0.124521,248.67,0.000160872,PDN15
230.6,-38.852,0.127874,248.935,0.00015994,PDN15
230.4,-39.7869,0.131843,249.232,0.000163795,PDN15
230.2,-40.6434,0.135487,249.523,0.000177909,PDN15
230,-41.459,0.139064,249.84,0.000181936,PDN15
229.8,-42.3121,0.142778,250.174,0.000179416,PDN15
229.6,-43.0248,0.145883,250.487,0.00018046,PDN15
229.4,-43.8291,0.149774,250.877,0.000186318,PDN15
229.2,-44.6457,0.153388,251.252,0.000192808,PDN15
229,-45.4855,0.157475,251.663,0.00019207,PDN15
