Time,Temperature (°C),Heat Flow (Normalized)(W/g),Label
30.7067,117.177,0.293427,Control
30.7083,117.169,0.293477,Control
30.71,117.16,0.293528,Control
30.7117,117.151,0.293581,Control
30.7133,117.144,0.29364,Control
30.715,117.135,0.293724,Control
30.7167,117.126,0.293827,Control
30.7183,117.118,0.293922,Control
30.72,117.11,0.294041,Control
30.7217,117.102,0.294103,Control
30.7233,117.094,0.294158,Control
30.725,117.085,0.29421,Control
30.7267,117.077,0.294258,Control
30.7283,117.068,0.294308,Control
30.73,117.061,0.294356,Control
30.7317,117.052,0.294403,Control
30.7333,117.043,0.294453,Control
30.735,117.036,0.294506,Control
30.7367,117.027,0.294562,Control
30.7383,117.018,0.294629,Control
30.74,117.011,0.294689,Control
30.7417,117.002,0.294747,Control
30.7433,116.994,0.294799,Control
30.745,116.985,0.294844,Control
30.7467,116.978,0.294891,Control
30.7483,116.969,0.294937,Control
30.75,116.961,0.294974,Control
30.7517,116.952,0.295012,Control
30.7533,116.945,0.295049,Control
30.755,116.936,0.295091,Control
30.7567,116.928,0.295138,Control
30.7583,116.92,0.295191,Control
30.76,116.911,0.295245,Control
30.7617,116.903,0.295302,Control
30.7633,116.894,0.295351,Control
30.765,116.886,0.295398,Control
30.7667,116.878,0.295442,Control
30.7683,116.87,0.295485,Control
30.77,116.862,0.29552,Control
30.7717,116.853,0.295554,Control
30.7733,116.846,0.295591,Control
30.775,116.837,0.295633,Control
30.7767,116.828,0.29568,Control
30.7783,116.82,0.295734,Control
30.78,116.811,0.29579,Control
30.7817,116.804,0.295846,Control
30.7833,116.796,0.295895,Control
30.785,116.788,0.295935,Control
30.7867,116.78,0.295973,Control
30.7883,116.77,0.296006,Control
30.79,116.762,0.296042,Control
30.7917,116.754,0.296085,Control
30.7933,116.746,0.29613,Control
30.795,116.737,0.296176,Control
30.7967,116.729,0.296228,Control
30.7983,116.72,0.296278,Control
30.8,116.712,0.296334,Control
30.8017,116.704,0.296388,Control
30.8033,116.695,0.296441,Control
30.805,116.686,0.296485,Control
30.8067,116.68,0.296522,Control
30.8083,116.672,0.296558,Control
30.81,116.663,0.296595,Control
30.8117,116.655,0.296631,Control
30.8133,116.646,0.296657,Control
30.815,116.638,0.296681,Control
30.8167,116.629,0.296707,Control
30.8183,116.621,0.296744,Control
30.82,116.612,0.296786,Control
30.8217,116.604,0.296827,Control
30.8233,116.595,0.296869,Control
30.825,116.588,0.29691,Control
30.8267,116.579,0.296946,Control
30.8283,116.571,0.296977,Control
30.83,116.562,0.297008,Control
30.8317,116.555,0.297035,Control
30.8333,116.546,0.297066,Control
30.835,116.538,0.2971,Control
30.8367,116.529,0.297138,Control
30.8383,116.522,0.297171,Control
30.84,116.513,0.297206,Control
30.8417,116.505,0.29724,Control
30.8433,116.497,0.297271,Control
30.845,116.489,0.297299,Control
30.8467,116.48,0.29733,Control
30.8483,116.473,0.297364,Control
30.85,116.464,0.297404,Control
30.8517,116.454,0.297443,Control
30.8533,116.447,0.297487,Control
30.855,116.439,0.297528,Control
30.8567,116.429,0.297559,Control
30.8583,116.422,0.29759,Control
30.86,116.414,0.297613,Control
30.8617,116.406,0.297634,Control
30.8633,116.397,0.297657,Control
30.865,116.389,0.297684,Control
30.8667,116.38,0.297714,Control
30.8683,116.373,0.297748,Control
30.87,116.363,0.297791,Control
30.8717,116.356,0.29783,Control
30.8733,116.348,0.297862,Control
30.875,116.339,0.297897,Control
30.8767,116.331,0.297933,Control
30.8783,116.322,0.297973,Control
30.88,116.314,0.298008,Control
30.8817,116.307,0.298038,Control
30.8833,116.297,0.298069,Control
30.885,116.289,0.298096,Control
30.8867,116.28,0.298126,Control
30.8883,116.272,0.298147,Control
30.89,116.264,0.298164,Control
30.8917,116.257,0.298173,Control
30.8933,116.248,0.298186,Control
30.895,116.24,0.298205,Control
30.8967,116.231,0.298231,Control
30.8983,116.223,0.298253,Control
30.9,116.216,0.298271,Control
30.9017,116.207,0.298291,Control
30.9033,116.198,0.298314,Control
30.905,116.19,0.298341,Control
30.9067,116.183,0.298362,Control
30.9083,116.173,0.298386,Control
30.91,116.166,0.298413,Control
30.9117,116.157,0.298443,Control
30.9133,116.149,0.298474,Control
30.915,116.141,0.2985,Control
30.9167,116.133,0.298526,Control
30.9183,116.124,0.298544,Control
30.92,116.117,0.298557,Control
30.9217,116.108,0.298571,Control
30.9233,116.1,0.298587,Control
30.925,116.09,0.298596,Control
30.9267,116.083,0.298612,Control
30.9283,116.075,0.298639,Control
30.93,116.066,0.298672,Control
30.9317,116.058,0.298706,Control
30.9333,116.049,0.298745,Control
30.935,116.041,0.298783,Control
30.9367,116.033,0.298818,Control
30.9383,116.025,0.298851,Control
30.94,116.016,0.298887,Control
30.9417,116.008,0.298929,Control
30.9433,115.999,0.298972,Control
30.945,115.992,0.299014,Control
30.9467,115.982,0.299058,Control
30.9483,115.975,0.299096,Control
30.95,115.966,0.299134,Control
30.9517,115.958,0.29917,Control
30.9533,115.95,0.299201,Control
30.955,115.941,0.29923,Control
30.9567,115.933,0.299257,Control
30.9583,115.925,0.299283,Control
30.96,115.917,0.299312,Control
30.9617,115.908,0.299346,Control
30.9633,115.9,0.299376,Control
30.965,115.891,0.299397,Control
30.9667,115.884,0.29942,Control
30.9683,115.875,0.299439,Control
30.97,115.867,0.299457,Control
30.9717,115.859,0.299474,Control
30.9733,115.85,0.299495,Control
30.975,115.841,0.299518,Control
30.9767,115.833,0.299551,Control
30.9783,115.826,0.299577,Control
30.98,115.815,0.2996,Control
30.9817,115.808,0.299622,Control
30.9833,115.801,0.299638,Control
30.985,115.792,0.299651,Control
30.9867,115.783,0.299665,Control
30.9883,115.776,0.299681,Control
30.99,115.768,0.299694,Control
30.9917,115.759,0.29971,Control
30.9933,115.75,0.299723,Control
30.995,115.743,0.299737,Control
30.9967,115.735,0.299756,Control
30.9983,115.726,0.299772,Control
31,115.718,0.299787,Control
31.0017,115.71,0.299801,Control
31.0033,115.701,0.299817,Control
31.005,115.692,0.299834,Control
31.0067,115.684,0.299852,Control
31.0083,115.676,0.299865,Control
31.01,115.667,0.299886,Control
31.0117,115.659,0.299912,Control
31.0133,115.651,0.299944,Control
31.015,115.642,0.299979,Control
31.0167,115.634,0.30001,Control
31.0183,115.626,0.300041,Control
31.02,115.618,0.300062,Control
31.0217,115.61,0.300077,Control
31.0233,115.601,0.300088,Control
31.025,115.593,0.300098,Control
31.0267,115.585,0.300103,Control
31.0283,115.577,0.300099,Control
31.03,115.568,0.300098,Control
31.0317,115.56,0.3001,Control
31.0333,115.551,0.300103,Control
31.035,115.543,0.30011,Control
31.0367,115.535,0.300125,Control
31.0383,115.527,0.300126,Control
31.04,115.519,0.300127,Control
31.0417,115.51,0.300133,Control
31.0433,115.502,0.300151,Control
31.045,115.493,0.300167,Control
31.0467,115.485,0.300174,Control
31.0483,115.476,0.300182,Control
31.05,115.469,0.300187,Control
31.0517,115.461,0.300195,Control
31.0533,115.452,0.300207,Control
31.055,115.443,0.300227,Control
31.0567,115.436,0.300239,Control
31.0583,115.427,0.300255,Control
31.06,115.419,0.30029,Control
31.0617,115.41,0.300377,Control
31.0633,115.403,0.300477,Control
31.065,115.394,0.300537,Control
31.0667,115.386,0.300611,Control
31.0683,115.378,0.300649,Control
31.07,115.369,0.300685,Control
31.0717,115.36,0.300711,Control
31.0733,115.353,0.300729,Control
31.075,115.344,0.300743,Control
31.0767,115.335,0.300761,Control
31.0783,115.328,0.300782,Control
31.08,115.319,0.300798,Control
31.0817,115.311,0.300808,Control
31.0833,115.302,0.300821,Control
31.085,115.294,0.300832,Control
31.0867,115.286,0.300838,Control
31.0883,115.278,0.300854,Control
31.09,115.27,0.300866,Control
31.0917,115.261,0.300876,Control
31.0933,115.253,0.300885,Control
31.095,115.244,0.300894,Control
31.0967,115.236,0.30091,Control
31.0983,115.228,0.300923,Control
31.1,115.22,0.300937,Control
31.1017,115.211,0.300951,Control
31.1033,115.203,0.30096,Control
31.105,115.195,0.300975,Control
31.1067,115.186,0.300993,Control
31.1083,115.178,0.301009,Control
31.11,115.169,0.301031,Control
31.1117,115.162,0.301053,Control
31.1133,115.154,0.301066,Control
31.115,115.144,0.30108,Control
31.1167,115.137,0.301098,Control
31.1183,115.128,0.301116,Control
31.12,115.12,0.301132,Control
31.1217,115.112,0.301144,Control
31.1233,115.103,0.301163,Control
31.125,115.094,0.301187,Control
31.1267,115.087,0.301205,Control
31.1283,115.08,0.301218,Control
