5U4Y,PDN11,PDN12,PDN13,PDN14,PDN15,PDN16,PDN17,PDN18,PDN19,PDN20,PDN21,PDN22,PDN23,PDN24
-103.04017,-6.155241077,-99.02246,-88.27071826,0.782650574,-72.37474,-105.6669314,-2.61728,-95.54544785,-1.69833,-109.3177374,-94.55026565,-109.4159636,-109.122797,-3.441150475
-105.65066,-0.867254809,-91.56096,-93.33236277,2.306759856,-88.07463,-96.93496029,3.39614,-101.3720488,-0.06849,-98.22280071,-91.05889568,-105.7291281,-97.35468388,-1.461431438
-108.41228,2.339372687,-94.56678,-94.80193127,-4.000818563,-92.80902,-104.8999406,0.38558,-108.9525692,-1.73344,-113.40716,-93.25877909,-100.3996466,-96.27500182,-1.802498179
5.47805,-3.89464795,-96.34599,-77.35820326,-1.002638936,-80.23374,-102.8909768,-2.84658,-113.2114542,-4.7169,-124.5652949,-8.852001793,-97.73629029,-91.36658896,-2.339858537
1.79452,-6.18669081,-96.7592,-84.72579072,1.802530052,-87.84579,-112.0325236,-6.68339,-4.757093497,-1.18992,-116.5133884,-1.366055208,-99.65948426,-3.273219782,-3.54913393
-0.75845,-4.784765445,-5.59011,-88.83873885,7.14721143,-93.20185,-92.51353291,-1.97876,-8.390512744,-107.99447,-123.1030764,-4.615971697,-87.41317779,-5.74864878,-2.945398722
-0.11129,-3.997581126,-89.46959,-85.57879489,0.798726175,-93.28254,-96.40832391,-3.96309,-109.1537532,-99.85575,-115.2947317,-8.127186188,-115.4246618,-6.646864477,1.656029856
-0.83216,2.505544651,-89.63863,-87.60471154,2.813978014,-94.73061,-93.23125466,-101.3775,-103.6536719,-105.78353,-129.736032,-3.162734711,-109.4845191,-8.271842568,-1.292145623
0.94723,-100.5958914,-11.99605,-85.18298033,4.833391963,8.76273,-101.2834956,-95.35425,-112.0146467,-101.64956,-3.749820736,-5.225158725,-104.6793296,-109.5043395,-6.150701485
2.0438,-95.63494085,-10.6372,-86.90632991,-0.811537435,0.88762,-115.1270004,-102.03975,-111.9539259,-92.98656,-4.67947764,5.759719856,-105.8894666,-113.1019895,0.252362342
-2.47589,-109.1565843,-6.97694,-88.58407179,-114.1952394,-86.40393,-108.4584012,-85.33173,-109.8185506,-98.91511,-9.867643113,-9.497737319,-108.1560397,-116.5498147,-8.089587525
-108.29127,-1.159542952,-3.72937,-99.12804366,-111.3837317,-99.21038,-115.7905592,-98.74316,-98.16274972,-106.31024,-3.514943049,1.198706582,-104.0670443,-99.77241248,-12.04801619
-106.91105,-0.996004797,-0.11443,-91.74578652,-107.4450412,-92.33646,-18.90508605,-81.12016,-110.7962259,-95.6023,-0.652901207,-0.087512994,-109.5404413,-100.6995031,-9.102294984
-103.08953,-88.16987927,3.02894,4.027639319,-92.61778296,-86.19097,-19.6222027,-92.79904,-107.4063891,-94.28626,-5.991725372,0.881630187,-108.9851894,-102.7391718,-0.232143185
-104.22046,-104.9877652,-1.42338,2.107278762,-102.9025907,-92.51813,1.481685909,-92.91741,-123.8521664,-92.76273,-104.8901674,-0.849977147,-110.7701719,-98.68935133,-6.476501463
-95.32172,-105.5059523,-89.7765,4.249574679,-101.6279435,-89.11412,-15.93312966,-103.76684,-111.8346373,-96.09678,-112.5603504,-96.14213203,-104.1513236,-91.04602973,-7.175400043
